PersonId,LastName,UsedFirstName,SchoolNameLongEn,FieldOfStudyEn,DiplomaLongEn,GraduationYear
14149,Demers,Léopold,McGill University,Agriculture,Unknown,
885,Demers,Nicole,Laval University,Advertising and Integrated Marketing Communications,Unknown,1998.0
11283,Demers,Yves,Montreal University,Accounting,Chartered accountants,1965.0
5901,Deniger,Pierre,Montreal University,Laws,Licentiate,
6281,Denis,Azellus,Montreal University,Laws,Bachelor,
6281,Denis,Azellus,Montreal University,Arts,Bachelor,
16483,Denis,Jean-Joseph,Laval University,Laws,Unknown,
4759,Denis,Joseph-Arthur,Laval University,Medicine,Doctorate,
13435,Deniset,Louis,University of Manitoba,Arts,Bachelor,1946.0
13435,Deniset,Louis,University of Manitoba,Laws,Bachelor,1949.0
5466,Denison,Frederick Charles,Osgoode Hall Law School,Laws,Unknown,
4946,Dennis,William Henry,Acadia University,Civil Law,Honorary doctorate,
4946,Dennis,William Henry,St. Francis Xavier University,Laws,Honorary doctorate,
16881,Desaulniers,Alexis Lesieur,McGill University,Laws,Bachelor,
16881,Desaulniers,Alexis Lesieur,Laval University,Unknown,Unknown,
4936,Desaulniers,François Sévère Lesieur,Laval University,Laws,Unknown,
10862,Desaulniers,Louis-Léon Lesieur,Harvard University,Medicine,Doctor of medicine,1846.0
10850,Descarries,Joseph-Adélard,Laval University,Laws,Licentiate,1879.0
10850,Descarries,Joseph-Adélard,Montreal University,Laws,Unknown,
14940,Deschamps,Johanne,University of Quebec at Montréal,Communications,Certificate,1981.0
14940,Deschamps,Johanne,University of Quebec at Montréal,Educational and Vocational Counseling,Unknown,
7116,Deschatelets,Jean-Paul,Montreal University,Laws,Bachelor,1937.0
14200,Deshaies,Bernard,Collegiate studies,Administration,Diploma,
8491,Desjardins,Gabriel,Montreal University,Humane Letters,Bachelor,
3084,Desjardins,Louis-Georges,Royal Military College of Canada,Unknown,Unknown,
12170,Desjardins,Samuel,Victoria College,Medicine,Doctorate,
13299,Deslauriers,Hermas,Laval University,Medicine,Doctorate,
4318,Desmarais,Jean Noël,University of Ottawa,Arts,Bachelor,1946.0
4318,Desmarais,Jean Noël,University of Ottawa,Medicine,Doctorate,1951.0
4318,Desmarais,Jean Noël,Unknown,Radiology,Post-graduate studies,1955.0
10233,Desmarais,Louis R.,University of Ottawa,Commerce,Bachelor,1945.0
10233,Desmarais,Louis R.,McGill University,Chartered Accountants,Chartered accountants,1948.0
6078,Desmarais,Odilon,McGill University,Civil Law,Bachelor,
17303,Desnoyers,Luc,Montreal School of Higher Commercial Studies,Business Administration,Unknown,1975.0
5383,Desrochers,Jules,Laval University,Medicine,Doctorate,1899.0
13357,Desrochers,Odina,University of Quebec at Rimouski,Human Resources,Certificate,1996.0
13357,Desrochers,Odina,University of Quebec at Rimouski,Administration,Unknown,
16096,Desruisseaux,Paul,Montreal University,Laws,Unknown,1934.0
